Лист;Строка;Тип связи;Книги;Номера деталей;Отметки источника;Комментарий
WK-20;140;Прямая замена по строке;K1623 ↔ K1626;GB/T93 ↔ JB/ZQ4321;;
WK-20;141;Прямая замена по строке;K1623 ↔ K1626;GB/T6170 ↔ GB/T93;;
WK-20;142;Прямая замена по строке;K1623 ↔ K1626;JB/ZQ4446 ↔ GB/T6170;;
WK-20;143;Прямая замена по строке;K1623 ↔ K1626;GB/T5782 ↔ JB/ZQ4446;;
WK-20;144;Прямая замена по строке;K1623 ↔ K1626;NL30 ↔ GB/T5782;;
WK-20;145;Прямая замена по строке;K1623 ↔ K1626;K1601.07.03 ↔ NL30;;
WK-20;146;Прямая замена по строке;K1623 ↔ K1626;K1605.07.04 ↔ K1601.07.03;;
WK-20;147;Прямая замена по строке;K1623 ↔ K1626;GB/T5783 ↔ K1605.07.04;;
WK-20;148;Прямая замена по строке;K1623 ↔ K1626;GB/T93 ↔ GB/T5783;;
WK-20;149;Прямая замена по строке;K1623 ↔ K1626;GB/T95 ↔ GB/T93;;
WK-20;150;Прямая замена по строке;K1623 ↔ K1626;K1605.07.05.00 ↔ GB/T95;;
WK-20;151;Прямая замена по строке;K1623 ↔ K1626;Q11F-16 ↔ K1605.07.05.00;;
WK-20;152;Прямая замена по строке;K1623 ↔ K1626;K1605.09.00 ↔ K1626.09.00;;
WK-20;153;Одинаковый номер;K1623 ↔ K1626;K1605.09.01.00 ↔ K1605.09.01.00;Да;
WK-20;154;Одинаковый номер;K1623 ↔ K1626;K1605.09.02.00 ↔ K1605.09.02.00;Да;
WK-20;155;Прямая замена по строке;K1623 ↔ K1626;K1605.09.03.00 ↔ K1626.09.03.00;;Не универсальны: K1626 — двигатель увеличенной мощности, удлинён на 100.
WK-20;156;Одинаковый номер;K1623 ↔ K1626;K1605.09.04.00 ↔ K1605.09.04.00;Да;
WK-20;157;Прямая замена по строке;K1623 ↔ K1626;K1605.09.05.00 ↔ K1626.09.05.00;;
WK-20;158;Прямая замена по строке;K1623 ↔ K1626;K1605.09.06.00 ↔ K1626.09.06.00;;
WK-20;159;Прямая замена по строке;K1623 ↔ K1626;K1605.09.07.00 ↔ K1626.09.07.00;;
WK-20;160;Одинаковый номер;K1623 ↔ K1626;K1605.09.08.00 ↔ K1605.09.08.00;Да;
WK-20;161;Одинаковый номер;K1623 ↔ K1626;K1605.09.09.00 ↔ K1605.09.09.00;Да;
WK-20;162;Одинаковый номер;K1623 ↔ K1626;K1605.09.01 ↔ K1605.09.01;Да;
WK-20;163;Одинаковый номер;K1623 ↔ K1626;GB/T5783 ↔ GB/T5783;Да;
WK-20;164;Одинаковый номер;K1623 ↔ K1626;GB/T93 ↔ GB/T93;Да;
WK-20;165;Одинаковый номер;K1623 ↔ K1626;GB/T6170 ↔ GB/T6170;Да;
WK-20;166;Одинаковый номер;K1623 ↔ K1626;K1605.09.02 ↔ K1605.09.02;Да;
WK-20;167;Одинаковый номер;K1623 ↔ K1626;GB/T5782 ↔ GB/T5782;Да;
WK-20;168;Одинаковый номер;K1623 ↔ K1626;GB/T6170 ↔ GB/T6170;Да;
WK-20;169;Одинаковый номер;K1623 ↔ K1626;GB/T93 ↔ GB/T93;Да;
WK-20;170;Одинаковый номер;K1623 ↔ K1626;K1605.09.03 ↔ K1605.09.03;Да;
WK-20;171;Одинаковый номер;K1623 ↔ K1626;K1605.09.04 ↔ K1605.09.04;Да;
WK-20;172;Одинаковый номер;K1623 ↔ K1626;K1605.09.05 ↔ K1605.09.05;Да;
WK-20;173;Одинаковый номер;K1623 ↔ K1626;GB/T5783 ↔ GB/T5783;Да;
WK-20;174;Одинаковый номер;K1623 ↔ K1626;GB/T6170 ↔ GB/T6170;Да;
WK-20;175;Одинаковый номер;K1623 ↔ K1626;GB/T93 ↔ GB/T93;Да;
WK-20;176;Одинаковый номер;K1623 ↔ K1626;GB/T5782 ↔ GB/T5782;Да;
WK-20;177;Прямая замена по строке;K1623 ↔ K1626;K1618.10.00 ↔ K1626.10.00;;Последняя производственная модель — K1626.10.00.
WK-20;178;Одинаковый номер;K1623 ↔ K1626;K1605.10.01.00 ↔ K1605.10.01.00;Да;
WK-20;179;Прямая замена по строке;K1623 ↔ K1626;K1605.10.02.00 ↔ K1626.10.02.00;;Последняя производственная модель — K1626.10.02.00, требования к технологии производства и изготовления.
WK-20;180;Одинаковый номер;K1623 ↔ K1626;K1605.10.03.00 ↔ K1605.10.03.00;Да;
WK-20;181;Одинаковый номер;K1623 ↔ K1626;K1605.10.04.00 ↔ K1605.10.04.00;Да;
WK-20;182;Одинаковый номер;K1623 ↔ K1626;K1605.10.01 ↔ K1605.10.01;Да;
WK-20;183;Одинаковый номер;K1623 ↔ K1626;K1605.10.02 ↔ K1605.10.02;Да;
WK-20;184;Одинаковый номер;K1623 ↔ K1626;GB/T31.1 ↔ GB/T31.1;Да;
WK-20;185;Одинаковый номер;K1623 ↔ K1626;GB/T6178 ↔ GB/T6178;Да;
